x,y
-5.000000e+00,3.844626e-02
-4.990000e+00,3.862515e-02
-4.980000e+00,3.876137e-02
-4.970000e+00,3.889732e-02
-4.960000e+00,3.904488e-02
-4.950000e+00,3.920268e-02
-4.940000e+00,3.936535e-02
-4.930000e+00,3.952790e-02
-4.920000e+00,3.968734e-02
-4.910000e+00,3.984279e-02
-4.900000e+00,3.999495e-02
-4.890000e+00,4.014542e-02
-4.880000e+00,4.029607e-02
-4.870000e+00,4.044855e-02
-4.860000e+00,4.060405e-02
-4.850000e+00,4.076317e-02
-4.840000e+00,4.092597e-02
-4.830000e+00,4.109205e-02
-4.820000e+00,4.126074e-02
-4.810000e+00,4.143119e-02
-4.800000e+00,4.160257e-02
-4.790000e+00,4.177413e-02
-4.780000e+00,4.194533e-02
-4.770000e+00,4.211582e-02
-4.760000e+00,4.228550e-02
-4.750000e+00,4.245447e-02
-4.740000e+00,4.262299e-02
-4.730000e+00,4.279147e-02
-4.720000e+00,4.296036e-02
-4.710000e+00,4.313017e-02
-4.700000e+00,4.330135e-02
-4.690000e+00,4.347430e-02
-4.680000e+00,4.364932e-02
-4.670000e+00,4.382664e-02
-4.660000e+00,4.400634e-02
-4.650000e+00,4.418841e-02
-4.640000e+00,4.437275e-02
-4.630000e+00,4.455917e-02
-4.620000e+00,4.474742e-02
-4.610000e+00,4.493723e-02
-4.600000e+00,4.512831e-02
-4.590000e+00,4.532037e-02
-4.580000e+00,4.551316e-02
-4.570000e+00,4.570647e-02
-4.560000e+00,4.590012e-02
-4.550000e+00,4.609402e-02
-4.540000e+00,4.628813e-02
-4.530000e+00,4.648245e-02
-4.520000e+00,4.667708e-02
-4.510000e+00,4.687213e-02
-4.500000e+00,4.706776e-02
-4.490000e+00,4.726417e-02
-4.480000e+00,4.746156e-02
-4.470000e+00,4.766015e-02
-4.460000e+00,4.786015e-02
-4.450000e+00,4.806176e-02
-4.440000e+00,4.826515e-02
-4.430000e+00,4.847046e-02
-4.420000e+00,4.867780e-02
-4.410000e+00,4.888724e-02
-4.400000e+00,4.909883e-02
-4.390000e+00,4.931255e-02
-4.380000e+00,4.952836e-02
-4.370000e+00,4.974621e-02
-4.360000e+00,4.996600e-02
-4.350000e+00,5.018761e-02
-4.340000e+00,5.041091e-02
-4.330000e+00,5.063577e-02
-4.320000e+00,5.086206e-02
-4.310000e+00,5.108964e-02
-4.300000e+00,5.131839e-02
-4.290000e+00,5.154820e-02
-4.280000e+00,5.177900e-02
-4.270000e+00,5.201071e-02
-4.260000e+00,5.224329e-02
-4.250000e+00,5.247674e-02
-4.240000e+00,5.271107e-02
-4.230000e+00,5.294630e-02
-4.220000e+00,5.318250e-02
-4.210000e+00,5.341974e-02
-4.200000e+00,5.365813e-02
-4.190000e+00,5.389777e-02
-4.180000e+00,5.413879e-02
-4.170000e+00,5.438130e-02
-4.160000e+00,5.462544e-02
-4.150000e+00,5.487133e-02
-4.140000e+00,5.511910e-02
-4.130000e+00,5.536885e-02
-4.120000e+00,5.562069e-02
-4.110000e+00,5.587470e-02
-4.100000e+00,5.613096e-02
-4.090000e+00,5.638951e-02
-4.080000e+00,5.665040e-02
-4.070000e+00,5.691364e-02
-4.060000e+00,5.717923e-02
-4.050000e+00,5.744716e-02
-4.040000e+00,5.771740e-02
-4.030000e+00,5.798990e-02
-4.020000e+00,5.826460e-02
-4.010000e+00,5.854146e-02
-4.000000e+00,5.882039e-02
-3.990000e+00,5.910132e-02
-3.980000e+00,5.938419e-02
-3.970000e+00,5.966891e-02
-3.960000e+00,5.995543e-02
-3.950000e+00,6.024367e-02
-3.940000e+00,6.053359e-02
-3.930000e+00,6.082515e-02
-3.920000e+00,6.111831e-02
-3.910000e+00,6.141306e-02
-3.900000e+00,6.170939e-02
-3.890000e+00,6.200731e-02
-3.880000e+00,6.230684e-02
-3.870000e+00,6.260802e-02
-3.860000e+00,6.291090e-02
-3.850000e+00,6.321553e-02
-3.840000e+00,6.352199e-02
-3.830000e+00,6.383036e-02
-3.820000e+00,6.414071e-02
-3.810000e+00,6.445315e-02
-3.800000e+00,6.476777e-02
-3.790000e+00,6.508466e-02
-3.780000e+00,6.540392e-02
-3.770000e+00,6.572564e-02
-3.760000e+00,6.604992e-02
-3.750000e+00,6.637685e-02
-3.740000e+00,6.670649e-02
-3.730000e+00,6.703893e-02
-3.720000e+00,6.737422e-02
-3.710000e+00,6.771242e-02
-3.700000e+00,6.805358e-02
-3.690000e+00,6.839772e-02
-3.680000e+00,6.874487e-02
-3.670000e+00,6.909504e-02
-3.660000e+00,6.944823e-02
-3.650000e+00,6.980445e-02
-3.640000e+00,7.016367e-02
-3.630000e+00,7.052588e-02
-3.620000e+00,7.089104e-02
-3.610000e+00,7.125914e-02
-3.600000e+00,7.163013e-02
-3.590000e+00,7.200398e-02
-3.580000e+00,7.238064e-02
-3.570000e+00,7.276009e-02
-3.560000e+00,7.314230e-02
-3.550000e+00,7.352722e-02
-3.540000e+00,7.391483e-02
-3.530000e+00,7.430512e-02
-3.520000e+00,7.469806e-02
-3.510000e+00,7.509366e-02
-3.500000e+00,7.549191e-02
-3.490000e+00,7.589283e-02
-3.480000e+00,7.629643e-02
-3.470000e+00,7.670274e-02
-3.460000e+00,7.711179e-02
-3.450000e+00,7.752364e-02
-3.440000e+00,7.793834e-02
-3.430000e+00,7.835595e-02
-3.420000e+00,7.877653e-02
-3.410000e+00,7.920016e-02
-3.400000e+00,7.962693e-02
-3.390000e+00,8.005691e-02
-3.380000e+00,8.049021e-02
-3.370000e+00,8.092689e-02
-3.360000e+00,8.136707e-02
-3.350000e+00,8.181083e-02
-3.340000e+00,8.225826e-02
-3.330000e+00,8.270946e-02
-3.320000e+00,8.316451e-02
-3.310000e+00,8.362350e-02
-3.300000e+00,8.408650e-02
-3.290000e+00,8.455359e-02
-3.280000e+00,8.502484e-02
-3.270000e+00,8.550032e-02
-3.260000e+00,8.598007e-02
-3.250000e+00,8.646416e-02
-3.240000e+00,8.695261e-02
-3.230000e+00,8.744548e-02
-3.220000e+00,8.794278e-02
-3.210000e+00,8.844455e-02
-3.200000e+00,8.895079e-02
-3.190000e+00,8.946153e-02
-3.180000e+00,8.997678e-02
-3.170000e+00,9.049652e-02
-3.160000e+00,9.102078e-02
-3.150000e+00,9.154954e-02
-3.140000e+00,9.208281e-02
-3.130000e+00,9.262057e-02
-3.120000e+00,9.316284e-02
-3.110000e+00,9.370959e-02
-3.100000e+00,9.426085e-02
-3.090000e+00,9.481660e-02
-3.080000e+00,9.537685e-02
-3.070000e+00,9.594162e-02
-3.060000e+00,9.651092e-02
-3.050000e+00,9.708477e-02
-3.040000e+00,9.766320e-02
-3.030000e+00,9.824625e-02
-3.020000e+00,9.883395e-02
-3.010000e+00,9.942635e-02
-3.000000e+00,1.000235e-01
-2.990000e+00,1.006255e-01
-2.980000e+00,1.012323e-01
-2.970000e+00,1.018441e-01
-2.960000e+00,1.024610e-01
-2.950000e+00,1.030830e-01
-2.940000e+00,1.037102e-01
-2.930000e+00,1.043427e-01
-2.920000e+00,1.049807e-01
-2.910000e+00,1.056242e-01
-2.900000e+00,1.062733e-01
-2.890000e+00,1.069282e-01
-2.880000e+00,1.075889e-01
-2.870000e+00,1.082556e-01
-2.860000e+00,1.089284e-01
-2.850000e+00,1.096075e-01
-2.840000e+00,1.102928e-01
-2.830000e+00,1.109846e-01
-2.820000e+00,1.116829e-01
-2.810000e+00,1.123879e-01
-2.800000e+00,1.130997e-01
-2.790000e+00,1.138183e-01
-2.780000e+00,1.145438e-01
-2.770000e+00,1.152764e-01
-2.760000e+00,1.160161e-01
